,hu0,hu1,hu2,hu3,hu4,hu5,hu6,mean_r,std_r,kurtosis_r,skewness_r,mean_g,std_g,kurtosis_g,skewness_g,mean_b,std_b,kurtosis_b,skewness_b,class
0,0.657,1.647,4.337,5.43,-10.321,-6.26,-11.047,39.447,22.483,2.442,1.136,51.407,22.388,1.664,0.713,67.063,23.992,0.836,0.266,0.0
1,0.611,1.468,5.89,6.636,13.002,7.62,-13.111,50.725,27.494,0.749,0.788,63.703,27.631,0.421,0.678,80.627,28.513,0.041,0.579,1.0
